Title,Rating,Votes,Runtimes,Budget,World_Gross,Country,Action,Adventure,Adult,Animation,Comedy,Crime,Documentary,Drama,Fantasy,Family,FilmNoir,Horror,Musical,Mystery,Romance,SciFi,Short,Thriller,War,Western
Hababam sinifi,9.5,23362,87,,,Turkey,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Felix Manalo,9.4,3701,,,,Philippines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARx2,9.4,2217,117,"$3,000,000",,USA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CM101MMXI Fundamentals,9.3,34516,139,,,Turkey,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pink Floyd: P. U. L. S. E. Live at Earls Court,9.3,3319,145,,,UK,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Shawshank Redemption,9.3,1561389,142,"$25,000,000","$58,500,000 (Worldwide)",USA,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Love Me Haiti,9.2,2258,9,"$25,000",,Sweden,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
The Godfather,9.2,1068905,175,"$6,000,000","$245,066,411 (Worldwide) (11 May 1997)",USA,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
RangiTaranga,9.1,8011,149,,,India,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Vchera,9.1,2473,,,,Bulgaria,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tosun Pasa,9.1,13166,90,,,Turkey,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Theatre Live: Frankenstein,9.1,1051,,,,UK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maratonci trce pocasni krug,9.0,9742,92,,,Yugoslavia,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Godfather: Part II,9.0,724564,220,"$13,000,000",,USA,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Uppi 2,9.0,6418,135,,,India,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Selam: Bahara Yolculuk,9.0,3728,126,,,Turkey,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
